572,1155,6,9.15527e-05
573,1155,7,0.000152588
574,1155,8,9.15527e-05
575,1155,9,3.05176e-05
576,1156,0,6.10352e-05
577,1156,1,6.10352e-05
578,1156,2,0.000152588
579,1156,3,0.00012207
580,1156,4,0.000152588
581,1156,5,0.0
582,1156,6,0.000152588
583,1156,7,0.00012207
584,1156,8,3.05176e-05
585,1156,9,0.00012207
586,1157,0,9.15527e-05
587,1157,1,9.15527e-05
588,1157,2,9.15527e-05
589,1157,3,0.00012207
590,1157,4,9.15527e-05
591,1157,5,9.15527e-05
592,1157,6,0.00012207
593,1157,7,6.10352e-05
594,1157,8,6.10352e-05
595,1157,9,0.000183105
596,1158,0,3.05176e-05
597,1158,1,0.00012207
598,1158,2,0.000152588
599,1158,3,0.00012207
600,1158,4,0.0
601,1158,5,6.10352e-05
602,1158,6,0.000152588
603,1158,7,0.000213623
604,1158,8,9.15527e-05
605,1158,9,0.00012207
606,1159,0,0.00012207
607,1159,1,0.000152588
608,1159,2,0.00012207
609,1159,3,0.00012207
610,1159,4,0.00012207
611,1159,5,0.00012207
612,1159,6,6.10352e-05
613,1159,7,0.00012207
614,1159,8,9.15527e-05
615,1159,9,9.15527e-05
616,1160,0,0.000152588
617,1160,1,0.000152588
618,1160,2,0.000183105
619,1160,3,6.10352e-05
620,1160,4,0.000274658
621,1160,5,0.00012207
622,1160,6,9.15527e-05
623,1160,7,9.15527e-05
624,1160,8,0.000152588
625,1160,9,6.10352e-05
626,1161,0,9.15527e-05
627,1161,1,0.000152588
628,1161,2,0.000152588
629,1161,3,0.0
630,1161,4,0.000152588
631,1161,5,9.15527e-05
632,1161,6,0.00012207
633,1161,7,3.05176e-05
634,1161,8,0.000152588
635,1161,9,0.000244141
636,1162,0,0.00012207
637,1162,1,0.000152588
638,1162,2,9.15527e-05
