,time,x,y,theta
997,9.97,1073.1595,729.2075,-2.80610658566
998,9.98,1068.76,728.424,-2.79804449102
999,9.99,1064.4925,727.8405,-2.78944971372
1000,10.0,1060.1645,727.1705,-2.7809488306
1001,10.01,1055.7345,726.3795,-2.77233789027
1002,10.02,1051.413,725.487,-2.76423620229
1003,10.03,1047.1575,724.493,-2.75587684607
1004,10.04,1042.619,723.356,-2.74764456775
1005,10.05,1038.1905,722.301,-2.73981636905
1006,10.06,1033.731,721.0675,-2.73185756377
1007,10.07,1029.213,719.6935,-2.72437780303
1008,10.08,1024.7225,718.068,-2.71676260928
1009,10.09,1020.198,716.4235,-2.70912696591
1010,10.1,1015.573,714.649,-2.70115486357
1011,10.11,1010.905,712.854,-2.6933745197
1012,10.12,1006.269,711.0505,-2.68525582421
1013,10.13,1001.564,709.212,-2.6771696659
1014,10.14,996.6935,707.1885,-2.66909218737
1015,10.15,991.8875,705.2595,-2.66120862353
1016,10.16,987.08,703.3075,-2.65296141499
1017,10.17,982.0665,701.336,-2.64444744275
1018,10.18,977.04,699.2135,-2.63664036619
1019,10.19,972.0565,697.0255,-2.62829199798
1020,10.2,967.012,694.8745,-2.61993337451
1021,10.21,961.903,692.631,-2.6115958335
1022,10.22,956.847,690.362,-2.60348776836
1023,10.23,951.7675,688.0325,-2.59506674534
1024,10.24,946.5935,685.6225,-2.5868774871
1025,10.25,941.3375,683.2755,-2.57856975765
1026,10.26,936.0905,680.841,-2.57044534904
1027,10.27,930.886,678.2765,-2.56216376837
1028,10.28,925.475,675.7365,-2.5542160172
1029,10.29,920.025,673.2195,-2.54621386574
1030,10.3,914.6655,670.701,-2.53840853746
1031,10.31,909.3175,668.1385,-2.5304142182
1032,10.32,903.837,665.4595,-2.52247731538
1033,10.33,898.436,662.6945,-2.51495546498
1034,10.34,893.2015,659.8555,-2.50739157774
1035,10.35,887.7365,657.0825,-2.4997383915
1036,10.36,882.324,654.3165,-2.49255191077
1037,10.37,877.0345,651.449,-2.48487507649
1038,10.38,871.581,648.6565,-2.47730191474
1039,10.39,866.1625,645.8045,-2.46996043502
1040,10.4,860.8325,642.9595,-2.46251639849
1041,10.41,855.3965,640.0665,-2.45536272335
1042,10.42,849.9425,637.048,-2.44799336955
1043,10.43,844.6615,633.964,-2.44084579658
1044,10.44,839.3575,630.9835,-2.43357153129
1045,10.45,834.038,627.88,-2.42612797733
1046,10.46,828.7595,624.801,-2.41883871181
1047,10.47,823.506,621.6265,-2.41178249851
1048,10.48,818.2655,618.452,-2.40490050022
1049,10.49,813.086,615.287,-2.39749816439
1050,10.5,807.9855,612.072,-2.39049608477
1051,10.51,802.7585,608.7795,-2.38340037458
1052,10.52,797.5725,605.6235,-2.37646130336
